GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
Blossom	http://blossom.pt/blog	//header[@class="entry-header"]/h1/a	//header[@class="entry-header"]/h1	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol/li	//div[@class="nav-previous alignleft"]/a		
The Haute Pursuit	http://www.thehautepursuit.com	//h2[@class="title"]/a	//div[@class="post"]/h2	//div[@class="post"]/p	//div[@class="title2"]	//ol/li	//div[@class="postnavigation"]/p/a[1]		
The Pleated Poppy	http://thepleatedpoppy.com/blog/	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry-content"]	//span[@class="date published time"]	//ol/li	//div[@class="pagination-next alignright"]/a		
Irene's Closet	http://ireneccloset.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol/li	//div[@class="nav-previous"]/a		
Stylized Existance	http://stylizedexistence.com/blog	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//abbr[contains(@class,"published")]	//ul[@id="post-list"]	//p[@class="previous"]/a		
Wendy Brandes	http://wendybrandes.com/blog	//div[@class="entrytitle"]/h1/a	//div[@class="entrytitle"]/h1/a	//div[@class="entrybody"]	//div[@class="enddate"]	//ol/li	//div[@class="nav-previous"]/a		
Miss At La Playa	http://missatlaplaya.com	//header[@class="entry-header"]/h1/a	//header[@class="entry-header"]/h1	//div[@class="entry-content"]	//div[@class="entry-meta-time"]	//ol/li	//div[@class="nav-previous"]/a		
Ulrikke Lund	http://ulrikkelund.com/	//div[@class="content"]/header/a	//div[@class="content"]/header/a/h2	//div[@class="content"]	//div[@class="metainfo clearfix"]/time	//div[@id="stylista-comments"]	//li[@class="pager-next first last"]/a	http://stylista.no/blog/ulrikke-lund	
Holly Dolly	http://www.hollydollyblog.com	//h3[@class="post-title"]/a	//h3[@class="post-title"]/a	//div[@class="description"]	//div[@class="meta"]	//ul[@id="post-list"]	//a[@class="nav next"]		
All The Pretty Birds	http://www.all-theprettybirds.com/	//div[@class="ant-post"]/h2/a	//article[@id="post"]/h2	//article[@id="post"]	//article[@id="post"]/h4	//div[@class="comments"]	//span[@class="prev"]/a		
A Girl, A Style	http://agirlastyle.com	//header[@class="entry-header"]/h1/a	//h1[@class="entry-title"]	//div[@class="entry-content"]		//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
Happily Grey	http://Www.happilygrey.com	//h2[@class="entry-title"]/a	//h1[contains(@class,"entry-title")]/span	//div[contains(@class,"entry-content")]	//span[contains(@class,"entry-date")]	//ul[@class="commentlist"]/li	//a[@class="next page-numbers"]		
Little Tin Soldier	http://littletinsoldier.com	//div[@class="type"]/a	//div[@class="post-content"]/h3	//div[@class="post-content"]/p	//div[@class="date"]//a	//ul[@id="post-list"]	//span[@class="next-page"]/a		
Ascot Friday	http://ascotfriday.typepad.com/ascot_friday/	//a[@class="permalink"]	//h3[@class="entry-header"]	//div[@class="entry-content"]	//h2[@class="date-header"]	//div[@id="tpe-comments-content"]	//span[@class="pager-right"]		
Love, Laughter and Lipstick	http://lovelaughterandlipstick.com	//h2[contains(@class,"title front-view")]/a	//div[contains(@class,"single_post")]/header/h1	//div[@class="post-single-content box mark-links"]		//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
Vilde Kaniner	http://vildekaniner.dk	//div[@class="headline"]/h2/a	//div[@class="headline"]/h1	//div[@class="entry-content"]	//div[@id="headline-time-div"]	//ol/li	//div[@class="pagination"]/a[last()]		
Just Patience	http://justpatience.com	//h2[@class="entry-title"]/a	//h2[@class="entry-title"]	//div[@class="post"]	//div[@class="postdate"]	//ol/li	//div[@class="pagination"]/a[last()]		
KTR Style	http://ktrstyle.com	//h2[@class="post-title"]/a	//h2[@class="post-title"]	//div[@class="post-content-content"]/p	//span[@class="post-date"]	//div[@id="comments"]	//div[contains(@class,"alignright")]/a		
Anouska Proetta Brandon	http://anouskaproettabrandon.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry_wrap fix"]		//ul[@id="post-list"]	//li[@class="previous previous-entries"]/a		
Eat. Sleep. Wear.	http://eatsleepwear.com	//div[contains(@id,"post")]/div/h2/a	//div[contains(@id,"post")]/div/h1	//div[contains(@class, "entry clear")]	//div[@id="single-date"]	//ol/li	//div[@class="alignleft"]/a		
The Effortless Chic	http://theeffortlesschic.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]/a	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol/li	//nav[@id="nav-below"]/a[1]		
Le Blog De Big Beauty	http://leblogdebigbeauty.com	//div[@class="title"]/h2/a	//div[@class="title"]/h2/a	//div[@class="entry"]	//span[@class="date"]/time	//ol/li	//a[@class="next"]		
L'express Styles	http://blogs.lexpress.fr/cafe-mode	//div[contains(@class,"asset-header")]/h2/a	//div[contains(@class,"asset-header")]/h1	//div[contains(@class,"asset-body")]	//abbr[contains(@class,"published")]	//div[@id="comments"]	//a[@class="nextpostslink"]		
SKIP - NO RIGHT CLICK	http://fokis.se								
Kittehs Cupcakes	http://kittehscupcakes.nl	//article[contains(@class,"item-list")]//h2/a	//div[@class="post-inner"]/h1	//div[@class="entry"]	//div[@class="post-inner"]/p[@class="post-meta"]/span[2]	//ol/li	//span[contains(@id,"tie-next-page")]/a		
The Doctors Closet	http://thedoctorscloset.com	//div[@id="content_inner"]/h2/a	//div[@id="content_inner"]/h1	//div[@id="content_inner"]		//dl[@id="comment_list"]	//span[@class="older"]/a		
The Nothern Light	http://the-northernlight.com	//div[@class="post-inner"]/h2/a	//div[@class="post-inner"]/h2/a	//div[@class="entry"]	//div[contains(@class,"post")]/div[@class="date"]	//ol/li	//div[@class="alignleft"]/a		
The Stylist	http://thestylistpost.com	//ul/li/h3/a	//div[@id="category-name"]/h1	//div[contains(@class,"entry")]	//p[@class="description"]/text()[1]	//div[@id="comment-section"]			
Wendy's Look Book	http://www.wendyslookbook.com/	//div[contains(@class,"postContent")]/h3/a	//div[contains(@class,"postContent")]/h3	//div[contains(@class,"entry-content")]	//div[contains(@class,"postDate")]/abbr		//div[@class="prev"]/a		
Betty	http://www.leblogdebetty.com	//div[@id="content"]/header/h2/a	//div[@id="content"]/header/h1	//div[@class="entry-content"]	//footer[@class="datecategorie"]/center	//ol/li	//div[@class="nav-previous"]/a		
Dennis M.	http://dennism.se	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h2/a	//div[contains(@id,"post")]	//ul[@class="meta"]/li[1]	//ul[@class="commentlist"]/li	//div[contains(@id,"pagination")]/p/a[last()]		
I Love You Wildfox	http://ilovewildfox.com/iloveyouwildfox/	//article[contains(@class,"entry")]/h1/a	//head/title	//div[contains(@class,"entry-content")]	//div[@class="meta"]/text()[1]	//div[contains(@class,"comment-list")]	//nav[@class="pagination"]/a[last()]		
Peace Love Shea	http://peaceloveshea.com	//article[contains(@id,"content")]/div/a[@class="feed-thumb-link"]	//article[@id="content"]/h1	//article[@id="content"]/p	//p[@class="page-date"]	//ol/li	//a[@id="page-next"]		
Nini Style	http://ninistyle.net/	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h2	//div[@class="post"]/div[contains(@class,"content")]	//span[@class="date"]	//ol[@id="thecomments"]/li	//span[@class="older"]/a		
Leopard And Lillies	http://leopardandlillies.com	//div[contains(@id,"contant")]/h2/a	//div[contains(@id,"contant")]/h2[1]	//div[contains(@class,"entry")]/p		//ol/li	//div[contains(@class,"next-posts")]/a		
My Style Pill	http://mystylepill.com	//div[@class="post-single"]/h2/a	//div[contains(@id,"post")]//h2/a	//div[contains(@class,"post-content")]		//ol/li	//p[@class="older"]/a		
SKIP - NO NAVIGATION	http://rosealamode.com/								
Haute Pink	http://hautepinkpretty.com	//div[contains(@id,"post")]/h2/a	//div[contains(@id,"post")]/h1	//div[contains(@id,"post")]//div[contains(@class,"entry")]	//a[contains(@class,"date")]/span	//ol/li	//div[@class="fl"]/a		
Seams For A Desire	http://seamsforadesire.com	//div[contains(@id,"post")]/h3/a	//div[contains(@id,"post")]/h3	//div[contains(@class,"entry-content")]	//h2[contains(@class,"date-header")]	//div[contains(@id,"comments")]/ul/li	//div[contains(@class,"older-link")]/a		
The Fashion Canvas	http://www.thefashioncanvas.com	//article[contains(@class,"article")]/header/h2/a	//article[contains(@class,"article")]/header/h2/a	//article[@class="article"]//p[contains(@style,"text-align")]	//div[contains(@class,"post-date")]	//ol/li	//ul[@class="pagination"]/li[last()]		
Cult of Pretty	http://www.cultofpretty.com/	//div[@class="post-header-left"]	//div[@class="body"]/p[1]	//div[@class="photo"]	//div[@class="post-header-left"]	//section[@id="conversation"]	//div[@class="pagination-left"]/a		
Style Lovely	http://stylelovely.com/bartabacmode	//article[contains(@id,"post")]/header/h2/a	//article[contains(@id,"post")]/header/h1	//div[contains(@class,"entry-content")]	//p[@class="fecha"]	//ol/li	//a[@class="nextpostslink"]		
Musings Of A Muse	http://musingsofamuse.com	//div[contains(@class,"post-")]/h2/a	//div[contains(@class,"post-")]/h2	//div[@class="post"]/p	//div[contains(@class,"byline")]	//div[@class="commentlist"]/ul/li	//a[@class="nextpostslink"]		
Studded Hearts	http://studded-hearts.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h2	//div[contains(@class,"post-body")]	//div[contains(@class,"post-kicker")]	//ul[@id="post-list"]	//a[@class="nextpostslink"]		
Monoxious	http://monoxious.com	//div[contains(@class,"title")]/a	//div[contains(@class,"title")]/a	//div[@class="the-content"]	//div[@class="date"]	//ol/li	//a[@class="left"] 		
X Teener	http://www.iamxteeener.com/	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//time[@class="entry-date published"]	//ol/li	//div[@class="alignleft"]/a		
XPPINKX	http://xppinkxx.com	//div[contains(@class,"post")]/h3/a	//div[contains(@class,"post")]/h3	//div[contains(@class,"post-body")]	//h2[contains(@class,"date-header")]/span		//span[contains(@id,"older-link")]/a		
Elle	http://elsa.elle.se	//div[contains(@class,"article")]/h2	//div[contains(@class,"article")]/h1	//div[@class="article single"]	//div[contains(@class,"post-info")]/small	//ul[@id="post-list"]	//div[contains(@class,"alignright")]/a		
The Fashion Cloud	http://thefashioncloud.com	//article[contains(@class,"hentry")]/header/h1/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//time[@class="published"]	//div[@class="comment-list "]	//li[@class="next"]/a		
Vanillaascented	http://vanillascented.freshnet.se/	//div[contains(@class,"blog_post")]/h2/a	//h1[@class="blog_title"]	//div[@class="blog_post"]	//div[@class="blog_date"]	//div[contains(@id,"comment-")]	//a[@class="nextpostslink"]		
StyleHeroine	http://styleheroine.com	//article[contains(@id,"post-")]/h1/a	//article[contains(@id,"post-")]/h1/a	//section[@class="post-body"]	//p[@class="meta"]/time	//ol/li	//li[@class="older"]/a		
The Haute Cookie	http://thehautecookie.com	//h2[@class="entry-title"]/a	//h2[@class="entry-title"]	//div[contains(@class,"entry-content")]	//div[@class="date"]	//ol/li	//div[@class="nav-previous"]/a		
One of Each	http://oneofeachblog.com	//div[contains(@class,"post")]/div[@class="meta"]/h2/a	//div[contains(@class,"post")]/div[@class="meta"]/h2/a	//div[contains(@class,"entry")]	//div[@class="date"]	//ol/li	//div[@class="navigation"]/a[1]		
Blasfemmes	http://blasfemmes.com	//div[contains(@class,"post")]/h2/a	//h2[@class="the-title"]/a	//div[@class="the-content"]	//div[@class="post-date"]	//div[@id="comments"]/ul/li	//a[@class="nextpostslink"]		
Lady Addict	http://stylelovely.com/ladyaddict	//article[contains(@id,"post-")]/header[@class="entry-header"]/h2/a	//article[contains(@id,"post-")]/header[@class="entry-header"]/h1	//div[contains(@class,"entry-content")]		//ol/li	//a[@class="nextpostslink"]		
Make Life Easier	http://makelifeeasier.pl	//div[contains(@id,"post-")]/div[@class="post-header"]/h2/a	//div[contains(@id,"post-")]/div[@class="post-header"]/h2/a	//div[contains(@id,"post-")]	//div[contains(@id,"post-")]/div[@class="post-header"]/p	//div[@id="comments"]/div[contains(@class, "comment")]	//div[@id="wp_page_numbers"]/ul/li[last()]		
In Their Closet	http://intheircloset.com	//div[contains(@class,"post-")]/div[@class="headline_area"]/h2/a	//div[contains(@class,"post-")]/div[@class="headline_area"]/h1	//div[contains(@class,"entry-content")]	//div[contains(@class,"post-")]/div[@class="headline_area"]/p/abbr	\\ul[@id="post-list"]	//a[@class="nextpostslink"]		
A Fashion Love Affair	http://www.afashionloveaffair.com/	//div[contains(@class,"journal-entry-text")]/h2/a	//div[contains(@class,"journal-entry-text")]/h2/a	//div[@class="journal-entry-text"]	//span[@class="posted-on"]	//div[@id="comments"]//div[@class="comment"]	//span[@class="paginationControlNextPageSuffix"]/a		
Thyme is Honey	http://thyme-is-honey.com	//div[contains(@class,"title-block")]/h1/a	//div[contains(@class,"title-block")]/h1	//div[contains(@class,"post")]/*[not(self::div[@class="fb-comments fb_iframe_widget"])]	//span[@class="post-date"]	//div[@class="fb-comments fb_iframe_widget"]	//div[@class="alignright"]/a		
SKIP - DIFFERENT TEMPLAETES	http://katemiddletonstyle.org								
Love Lauren Elizabeth	http://lovelaurenelizabeth.com	//div[contains(@id,"post")]/div[@class="post-content"]/h2/a	//h1[@class="title"]/a	//div[contains(@class,"entry")]	//div[@class="post-meta"]/text()[3]	//ol/li	//a[@class="next page-numbers"]		
Punky Style	http://punkystyle.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h2	//div[contains(@class,"entry-content")]	//span[contains(@class,"entry-date")]//span[@class="entry-date"]	//ol/li	//div[@class="nav-previous"]/a		
Small Town Big Wardrobe	http://smalltownbigwardrobe.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[contains(@class,"entry")]/p	//div[contains(@class,"post")]//div[@class="post-info"]	//ol/li	//div[@class="pagination-next alignright"]/a		
House Of Harper	http://www.sweetcarolineinthecity.com	//h1[@class="post-title"]/a	//div[contains(@class,"content")]//h1	//div[@class="left jpibfi_container"]/p	//div[contains(@class,"left")]/h2	//ol/li	//span[@class="older"]/a	http://www.houseofharperblog.com/	
Inspired To Share	http://inspiredtoshare.com	//h1[contains(@class,"entry")]//a	//h1[@class="entry-title"]	//div[@class="entry-content"]		//ol/li	//div[contains(@class,"previous")]/a		
Eleonore Bridge	http://leblogdelamechante.fr	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post-header")]/h2	//div[contains(@id,"post")]		//div[contains(@class,"comment")]/div[contains(@class,"comment")]/div[@class="comment-body"]	//a[contains(@class,"next")]		
Creators Of Desire	http://mija.creatorsofdesire.com	//section[contains(@class,"posts")]//h2/a	//section[contains(@class,"posts")]/article/h1/a	//div[contains(@class,"cont")]	//span[@class="pubdate"]/div[@class="center"]/time	//ul[@id="post-list"]	//div[@class="pagination list-pagination"]/a[last()]		
Tokyobanhbao	http://tokyobanhbao.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//span[contains(@class,"post-date")]	//ol[contains(@class,"commentlist")]/li	//a[contains(@class,"nextposts")]		
Grayzine	http://grayzine.no/deadfleurette/	//article[contains(@id,"post")]/header/h1/a	//article[contains(@id,"post")]/header/h1/a	//div[contains(@class, "entry-content")]	//div[contains(@class, "entry-meta")]	//ol/li	//div[contains(@class,"nav-previous")]/a		
Glitter inc.	http://glitterandpearls.com/	don't do this							
	http://just-another-fashion-blog.tumblr.com/								
	http://pemberuj.net	unavailable							
