GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
Evelinas fashion cafe	http://evelinasfashioncafe.com/	//h2[@class="post-title"]/span/a	//h2[@class="post_title"]/span	//div[@class="maincontent"]	//div[@class="info"]	//ol[@class="commentlist"]/li	//div[@class="moreprevious"]/a		
Six six sick	http://sixsixsick.blogspot.com/	//h3[contains(@class, "post-title")]/a	//h3[contains(@class, "post-title")]/a	//div[contains(@class, "post-body")]	//h2[@class="date-header"]/span	//div[@id="comments"]/div	//span[@id="blog-pager-older-link"]/a		
Modern Eve	http://modern-eve.com	//h2/a	//h2/a	//div[@id="blogcontent"]	//p[@class="date"]	//ul[@id="post-list"]/li	//a[@class="nextpostslink"]		
Lina Di Moda	http://linadimoda.freshnet.se/	//h2/a	//h1[@class="blog_title"]	//div[@class="blog_content"]	//div[@class="blog_date"]	//div[@class="comment"]	//a[@class="nextpostslink"]		
Depois Dos Quinze	http://depoisdosquinze.com/	//div[@class="conteudo-post-titulo"]/a	//div[@class="conteudo-post-titulo"]	//div[@class="conteudo-post-texto"]	//div[@class="conteudo-post-autor-data"]	//ol[@id="comentar-lista"]/li	//a[@class="nextpostslink"]		
Maritsa	http://maritsa.co/	//h3[@class="entry-title"]/a	//h1[@class="entry-title"]/a	//div[@class="entry-content"]	//abbr[contains(@class, "published")]		//div[@class="nav-previous"]/a		
Tres Chic Clique	http://www.katrinekrojby.dk/	//a[@class="postoverskrift"]	//h1	//div[@class="entry-content"]	//div[@id="headline-time-div"]	//ol[@class="commentlist"]/li	(//div[@class="pagination"]/a)[last()]		
Style Slicker	http://styleslicker.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
The style crusader	http://thestylecrusader.com/	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//time[@class="published"]	//div[contains(@class,"comment-list")]/div[contains(@class,"comment")]	//div[@class="pagination"]/a		
In the city with Crystalin	http://crystalinmarie.com/	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol[@class="commentlist"]/li	//div[@class="nav-previous"]/a		
Amanda Berg	http://amandaberg.webblogg.se/	none	//h3	//div[@class="entrybody"]	//div[@class="entrymeta"]				
SKIP - Tumblr	http://fashiolista.tumblr.com/								
Brunette Blogging	http://brunetteblogging.com	//div[@class="post"]/h2/a	//div[@class="post"]/h2/a	//div[@class="entry"]	//div[@class="post"]/h3	//ul[@id="post-list"]	//div[@class="nav_right"]/a		
