Influencer_Id;Post_Id;Post_URL;Number_of_comments
1583410;137506000;http://lodoesmakeup.com/2015/08/wanted-3-nouvelles-palettes-pour-la-rentree-bon-plan-sephora/;15
1295014;141577536;http://www.perfeitabeleza.com/2015/08/como-tirar-o-preto-do-cabelo-e-deixar.html;0
1051169;141219520;http://www.frenchweddingstyle.com/paris-bridal-inspiration/;-1
1059483;141249044;http://www.sarahwilson.com/2015/08/too-much-attention-not-distraction-is-the-issue/;14
879775;133009768;http://www.fashionrocksmysocks.com/2015/07/hollister-haul-pickyourperfectpair.html;9
927404;140945487;http://feeds.thekitchn.com/~r/apartmenttherapy/thekitchn/~3/K96SkxFs5J0/5-curved-kitchen-counters-that-are-beyond-the-straight-narrow-223078;5
1491854;38080766;http://mrsmarina.wordpress.com/2013/12/16/i-got-get-some-summerlovin/;-1
325692;140884430;http://alwaysjudging.com/miami-horror-love-like-mine-cleopold-remix/;-1
760850;39749493;http://sarahmhawkinson.blogspot.com/2012/01/new-causeway-mall.html;2
2357148;128629834;http://livingthehealthychoice.com/peanut-butter-granola-bars/;14
324433;140880686;http://stylebubble.co.uk/style_bubble/2015/08/once-upon-a-shoe.html;8
1050634;132240831;http://gypsetgoddess.com/nizuc-resort-and-spa/;-1
886174;141647616;http://www.sequinsandthings.com/2015/08/howtostyledressesforfall.html;12
1292080;141492905;http://theanamumdiary.co.uk/2015/08/20/teen-bedroom-makover-more-details/;1
985602;111839159;http://www.bellossy.co/2013/05/spring-fever.html;13
2133776;115192433;http://eclecticintrospections.blogspot.com/2015/04/sisterhoof-of-world-bloggers-award.html;12
883528;133144041;http://cat-arzyna.blogspot.com/2015/07/provence-i-love-you.html;60
2424224;133660177;http://www.bigbeautifulblackgirls.com/is-big-new-beautiful/;0
1454070;141763215;http://roxanashomebaking.com/weekly-meal-plan-week-1/;1
326050;140877810;http://www.theelginavenue.com/2015/08/black-denim-dungarees.html;2
1447275;141724956;http://www.100layercakelet.com/2015/08/26/white-and-blush-1st-birthday-for-clara/;0
1447328;141715372;http://www.africanprintinfashion.com/2015/08/fall-with-lisa-folawiyo.html;0
942512;10314033;http://sunday-suppers.blogspot.com/2010/03/beet-sandwich-with-ricotta-orange.html;-1
748285;141112392;http://dgmanila.com/2015/08/the-lazy-blazer/;15
54;141156869;http://withlovefromkat.com/summer-to-fall-transition/;33
1051092;141265938;http://www.adventuresinfashion.ca/2015/08/5-tips-for-clearer-skin.html;1
1374568;141605682;http://www.barefeetinthekitchen.com/2015/08/weekly-meal-plan-8-24-2015.html;0
2389144;140526606;http://www.heynadine.com/10-uncommon-canadian-adventures/;1
48072;106775870;http://www.hanneli.com/frame/;2
2377054;138059359;http://fisti.ru/beauty/1417705163;-1
1448539;141708241;http://wtvr.com/2015/08/27/henrico-boat-fire/;-1
1086857;141677531;http://granmisterio.org/2015/08/27/el-misterio-de-las-extranas-luces-que-aparecen-en-la-luna/;-1
