Influencer_Id;Post_Id;Post_URL;Number_of_comments
1448284;55261356;http://www.creamylife.com/my-life/11734/happy-weekend-an-update.html;regexp_match;7
32741;130233688;http://www.fashionrocksmysocks.com/2015/07/whats-in-my-travel-bag-video.html;regexp_match;8
1051169;141219520;http://www.frenchweddingstyle.com/paris-bridal-inspiration/;comments_feed;1
927404;140945487;http://feeds.thekitchn.com/~r/apartmenttherapy/thekitchn/~3/K96SkxFs5J0/5-curved-kitchen-counters-that-are-beyond-the-straight-narrow-223078;regexp_match;5
1059483;141249044;http://www.sarahwilson.com/2015/08/too-much-attention-not-distraction-is-the-issue/;regexp_match;14
879775;133009768;http://www.fashionrocksmysocks.com/2015/07/hollister-haul-pickyourperfectpair.html;regexp_match;9
1491854;38080766;http://mrsmarina.wordpress.com/2013/12/16/i-got-get-some-summerlovin/;comments_feed;0
325692;140884430;http://alwaysjudging.com/miami-horror-love-like-mine-cleopold-remix/;comments_feed;0
760850;39749493;http://sarahmhawkinson.blogspot.com/2012/01/new-causeway-mall.html;regexp_match;2
2357148;128629834;http://livingthehealthychoice.com/peanut-butter-granola-bars/;regexp_match;14
324433;141972229;http://stylebubble.co.uk/style_bubble/2015/08/oh-my-gosha.html;regexp_match;11
886174;141903597;http://www.sequinsandthings.com/2015/08/fallsweatshirtoutfitidea.html;regexp_match;13
1050634;132240831;http://gypsetgoddess.com/nizuc-resort-and-spa/;comments_feed;0
1292080;141492905;http://theanamumdiary.co.uk/2015/08/20/teen-bedroom-makover-more-details/;regexp_match;1
985602;111839159;http://www.bellossy.co/2013/05/spring-fever.html;regexp_match;13
2133776;115192433;http://eclecticintrospections.blogspot.com/2015/04/sisterhoof-of-world-bloggers-award.html;regexp_match;12
883528;133144041;http://cat-arzyna.blogspot.com/2015/07/provence-i-love-you.html;regexp_match;60
2424224;133660177;http://www.bigbeautifulblackgirls.com/is-big-new-beautiful/;regexp_match;0
1454070;---;---;---;Exception: ''
